  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
Complete match            =  32.99
Average crossing          =   0.63
No crossing               =  68.37
2 or less crossing        =  90.82
Tagging accuracy          = 100.00

-- len<=40 --
Number of sentence        =    247
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    247
Bracketing Recall         =  91.63
Bracketing Precision      =  95.45
Bracketing FMeasure       =  93.50
Complete match            =  39.27
Average crossing          =   0.41
No crossing               =  74.49
2 or less crossing        =  95.55
Tagging accuracy          = 100.00
